pida,pidb
231,78
255,221
5,166
16,254
231,36
165,244
291,147
133,2
165,222
114,237
124,209
258,18
197,273
68,49
40,84
54,100
124,207
166,248
200,242
266,215
67,199
231,246
134,178
1,173
124,10
222,168
292,80
122,127
41,4
89,2
40,166
298,74
15,212
255,14
124,87
294,22
124,43
43,87
175,285
105,299
258,194
92,24
261,255
137,252
3,43
50,65
249,275
174,43
119,165
127,46
59,12
137,63
22,86
257,70
246,250
249,89
78,55
290,63
281,159
225,292
293,134
286,165
92,68
54,1
275,145
256,175
288,258
177,294
105,197
115,221
139,130
242,291
237,252
233,298
159,261
223,130
251,231
32,166
168,213
297,186
18,54
175,46
24,100
13,124
93,268
37,234
175,231
207,87
284,40
170,58
70,122
273,35
279,27
155,122
211,18
85,46
277,100
71,250
247,268
207,93
163,1
58,1
258,122
227,258
124,18
123,124
133,294
171,68
41,152
6,134
108,200
163,16
19,133
159,58
8,35
201,214
297,146
218,74
198,291
231,35
16,145
142,186
228,292
29,213
191,227
281,16
225,36
231,87
249,278
287,89
187,231
211,146
120,1
49,43
103,298
76,266
181,124
89,23
224,122
110,18
51,54
121,275
257,54
67,123
265,152
143,35
296,298
200,221
39,179
80,214
122,261
59,124
258,2
97,292
228,55
243,23
17,124
69,68
100,110
44,197
93,43
295,35
96,100
295,43
225,197
51,41
199,55
176,121
231,24
240,152
174,214
298,1
55,27
207,268
267,121
256,122
41,252
275,54
117,124
233,45
298,100
238,1
244,197
122,298
4,222
289,86
98,231
169,134
28,2
108,12
164,146
224,93
249,179
119,93
272,67
164,30
83,149
169,152
180,93
90,223
123,200
181,63
260,291
297,89
111,8
15,145
36,133
34,105
23,2
291,2
148,54
288,35
171,279
18,165
294,110
34,294
245,45
60,121
204,15
152,67
69,74
234,40
159,8
101,268
216,234
240,40
99,5
211,34
249,121
283,63
237,179
166,292
189,122
276,221
56,231
127,250
156,35
188,18
22,133
53,18
202,214
195,234
22,231
48,74
60,15
249,292
59,200
180,100
9,27
265,121
241,175
266,292
156,250
16,41
117,133
208,172
248,2
85,275
48,121
172,67
255,200
198,18
110,252
241,35
224,54
55,1
243,86
21,279
158,68
57,55
232,70
86,54
54,86
53,35
93,214
13,145
164,130
291,12
187,67
297,261
218,250
241,5
140,121
182,2
4,186
217,16
2,5
231,41
106,18
34,1
133,68
58,255
5,179
173,255
142,84
210,124
35,122
259,124
255,35
81,30
55,74
138,1
172,1
50,27
16,40
133,200
84,1
270,200
185,54
247,1
270,146
234,201
111,261
23,255
247,89
292,63
284,175
265,67
203,268
172,166
228,130
113,100
132,250
214,197
261,221
26,149
280,27
67,30
251,8
64,255
78,134
294,159
217,35
163,291
214,292
38,34
249,197
244,261
245,279
199,54
262,1
219,93
71,130
79,227
34,146
123,179
293,268
153,275
20,74
250,87
169,1
63,27
32,1
68,258
259,229
190,197
62,89
276,58
125,124
120,165
246,159
11,258
232,279
208,18
136,1
160,124
142,175
269,16
263,63
108,86
182,55
170,221
163,34
172,55
15,43
68,221
146,112
196,165
262,191
209,54
18,86
145,268
102,1
251,40
193,275
60,133
64,18
100,294
94,93
77,133
63,200
114,67
253,175
139,114
292,258
245,214
250,275
14,18
239,214
83,54
194,74
254,279
86,250
260,214
248,294
250,175
33,114
226,67
246,18
64,12
111,18
214,105
24,166
263,35
241,134
24,291
4,133
168,93
137,34
229,146
135,268
107,227
241,222
230,250
120,175
97,12
203,279
135,5
8,124
14,5
84,70
24,298
205,70
182,152
288,201
300,18
8,130
272,298
186,54
277,46
233,46
194,291
121,114
51,74
133,172
278,159
105,67
159,46
8,191
162,15
144,234
108,275
152,130
205,30
294,275
117,177
254,200
68,41
5,222
66,89
206,229
63,172
114,18
212,86
23,227
118,166
202,65
232,146
265,46
192,18
170,133
58,145
156,5
78,231
221,255
166,5
254,16
36,231
244,165
147,291
2,133
222,165
237,114
209,124
18,258
273,197
49,68
84,40
100,54
207,124
248,166
242,200
215,266
199,67
246,231
178,134
173,1
10,124
168,222
80,292
127,122
4,41
2,89
166,40
74,298
212,15
14,255
87,124
22,294
43,124
87,43
285,175
299,105
194,258
