id,number,direction,streetName,suffix,unit,city,state,postalCode,house
52,16215,S,Entertainer,Vista,884197563,Qiryat yam,New hampshire,31924,
53,40755,NW,Demagnetisers,Place,427892896,Al quşayr,New hampshire,39984,
54,25933,SW,Entertainer,Place,756307314,Al quşayr,New hampshire,42777,
55,71256,NE,Demagnetisers,Commons,850096198,Qiryat yam,New hampshire,28006,
56,75931,SW,Bungee,Commons,896930660,Qiryat yam,New hampshire,22485,
57,40359,N,Sloganeer,Gardens,799021882,Qiryat yam,New hampshire,15862,
58,87407,W,Dimorph,Commons,365078945,Qiryat yam,New hampshire,63902,
59,6669,W,Accountabilities,Road,223753282,Qiryat yam,New hampshire,28987,
60,15505,E,Demagnetisers,Street,475930400,Al quşayr,New hampshire,62023,
61,27724,NE,Entertainer,Court,422011772,Al quşayr,New hampshire,29836,
62,78343,N,Sloganeer,Ridge,229386432,Al quşayr,New hampshire,26021,
63,77574,E,Weighing,Avenue,187835647,Al quşayr,New hampshire,28354,
64,90283,N,Bexley,Avenue,998234271,Al quşayr,New hampshire,86832,
65,71768,S,Dimorph,Commons,143267974,Qiryat yam,New hampshire,15159,
66,28917,NE,Forzando,Court,271818011,Qiryat yam,New hampshire,62184,
67,56041,W,Bungee,Avenue,145023970,Al quşayr,New hampshire,53997,
68,5174,W,Entertainer,Beach,896809397,Al quşayr,New hampshire,79364,
69,46364,N,Weighing,Place,524109896,Qiryat yam,New hampshire,42389,
70,45819,W,Accountabilities,Court,762770934,Al quşayr,New hampshire,30960,
71,54933,SE,Demagnetisers,Street,737656448,Al quşayr,New hampshire,93016,
72,82875,NE,Demagnetisers,Gardens,123601196,Al quşayr,New hampshire,21725,
73,4275,NW,Weighing,Vista,383703068,Qiryat yam,New hampshire,96331,
74,13452,E,Bexley,Road,40032075,Qiryat yam,New hampshire,57472,
75,23995,SE,Beach-la-mar,Ridge,334890816,Al quşayr,New hampshire,41409,
76,78066,W,Forzando,Place,197852124,Al quşayr,New hampshire,32104,
77,55050,SE,Forzando,Estate,46153194,Al quşayr,New hampshire,56103,
78,29812,S,Beach-la-mar,Beach,857960971,Al quşayr,New hampshire,27254,
79,86717,E,Weighing,Place,964620001,Al quşayr,New hampshire,10566,
80,57009,E,Bexley,Gardens,765279230,Qiryat yam,New hampshire,78752,
81,26124,NW,Sloganeer,Avenue,455814999,Al quşayr,New hampshire,69029,
82,3474,NE,Entertainer,Vista,111343788,Al quşayr,New hampshire,40441,
83,50135,SE,Forzando,Road,607004150,Qiryat yam,New hampshire,76144,
84,44233,S,Beach-la-mar,Street,90238879,Al quşayr,New hampshire,44768,
85,66890,E,Beach-la-mar,Lane,46644232,Qiryat yam,New hampshire,79610,
86,53816,NE,Bungee,Ridge,807189766,Qiryat yam,New hampshire,43138,
87,94019,E,Entertainer,Vista,905999256,Al quşayr,New hampshire,84717,
88,93281,S,Beach-la-mar,Avenue,186525101,Qiryat yam,New hampshire,89782,
89,14987,SE,Bexley,Lane,252355870,Qiryat yam,New hampshire,34312,
90,24954,N,Accountabilities,Gardens,921862503,Al quşayr,New hampshire,35341,
91,66934,SE,Entertainer,Road,461294506,Qiryat yam,New hampshire,42835,
92,14121,N,Beach-la-mar,Vista,632431268,Al quşayr,New hampshire,93227,
93,13702,S,Bexley,Court,45342521,Al quşayr,New hampshire,66836,
94,92467,S,Accountabilities,Avenue,680999269,Qiryat yam,New hampshire,61641,
95,55306,E,Forzando,Court,951348654,Al quşayr,New hampshire,92646,
96,9993,E,Dimorph,Lane,204185435,Qiryat yam,New hampshire,80766,
97,10455,NW,Accountabilities,Court,348711170,Al quşayr,New hampshire,95988,
98,57140,W,Beach-la-mar,Lane,610284842,Qiryat yam,New hampshire,99101,
99,1734,SW,Accountabilities,Commons,492723345,Qiryat yam,New hampshire,44660,
100,71814,N,Forzando,Place,898922807,Al quşayr,New hampshire,57156,
