number,direction,streetName,suffix,unit,city,state,postalCode,house
22334,NW,avifaunas,Avenue,219787458,Ambikāpur,Minnesota,21762,
24922,SW,blackamoor,Street,291907204,Katghora,Minnesota,64043,
60103,W,operative,Road,918375620,Ambikāpur,Minnesota,54883,
84342,SW,capitalist,Avenue,250965169,Ambikāpur,Minnesota,86965,
33937,S,scarfskin,Road,446834704,Ambikāpur,Minnesota,12197,
6531,W,scarfskin,Avenue,874286141,Ambikāpur,Minnesota,12078,
24417,N,scarfskin,Gardens,327045039,Ambikāpur,Minnesota,39449,
42437,W,blackamoor,Avenue,306446813,Katghora,Minnesota,76815,
9111,W,avifaunas,Lane,61682225,Katghora,Minnesota,14633,
41432,W,operative,Avenue,837178107,Ambikāpur,Minnesota,50324,
12816,S,capitalist,Commons,106522373,Katghora,Minnesota,65665,
19065,E,operative,Vista,280058920,Katghora,Minnesota,25349,
16271,E,blackamoor,Estate,210811290,Katghora,Minnesota,16364,
1884,N,capitalist,Court,401751431,Katghora,Minnesota,63364,
78847,NE,blackamoor,Lane,222802137,Ambikāpur,Minnesota,65393,
6776,SW,scarfskin,Ridge,369031940,Ambikāpur,Minnesota,12873,
65256,N,uniting,Court,153256355,Katghora,Minnesota,19744,
22617,NW,envois,Court,894194495,Katghora,Minnesota,85880,
32160,N,operative,Place,559131723,Katghora,Minnesota,50992,
61797,N,capitalist,Commons,52236483,Ambikāpur,Minnesota,64906,
72437,NE,redactions,Gardens,862268061,Katghora,Minnesota,83449,
21308,NW,indignities,Avenue,634614337,Katghora,Minnesota,54869,
63031,N,uniting,Lane,731174803,Ambikāpur,Minnesota,86276,
95307,N,envois,Ridge,25899985,Katghora,Minnesota,12222,
94706,N,operative,Court,236246976,Katghora,Minnesota,78780,
64606,NE,redactions,Vista,635134223,Katghora,Minnesota,17843,
87474,E,uniting,Ridge,644635948,Ambikāpur,Minnesota,83142,
25631,SE,uniting,Gardens,271946322,Ambikāpur,Minnesota,51832,
60044,NW,parry,Vista,896922138,Ambikāpur,Minnesota,70194,
10904,NE,uniting,Lane,176019008,Katghora,Minnesota,20323,
97061,NE,scarfskin,Gardens,749604349,Ambikāpur,Minnesota,35221,
28766,N,uniting,Court,828816461,Katghora,Minnesota,81089,
70056,SE,capitalist,Ridge,558336814,Ambikāpur,Minnesota,47961,
9696,NE,indignities,Place,419055124,Katghora,Minnesota,90730,
79252,SE,blackamoor,Commons,272722898,Ambikāpur,Minnesota,43711,
59514,E,uniting,Beach,117222436,Ambikāpur,Minnesota,53683,
