style,constructed,purchased,bedrooms,bathrooms,sqft,levels,value,address
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1856,1965,3,2,4907,3,6193892,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1959,1987,0,8,2476,3,7739953,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1837,1993,3,2,2044,2,7695057,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1861,1835,3,9,4413,1,7383146,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1925,1832,0,3,8063,3,7923703,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1978,1873,6,5,1603,1,8278251,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1964,1839,5,9,5270,2,2849532,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1964,1971,4,7,2467,3,8338668,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1899,1849,3,7,6255,3,2921719,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1965,1864,6,7,8642,2,9907785,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1800,1933,3,7,2229,2,4683838,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1848,1934,2,4,4850,1,7442709,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,2006,1824,5,6,6993,2,2260002,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1968,1969,6,7,320,1,7080258,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1873,1802,7,6,2406,2,1058297,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1829,1819,1,6,950,1,2331739,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1903,1935,0,9,854,2,7782751,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1848,1938,6,9,7605,3,8651134,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1954,1823,5,2,8105,2,7745188,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1855,2012,1,5,9270,3,36650,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1808,2010,3,7,3888,3,3352711,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1837,1869,4,3,2112,3,3796978,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1975,2016,6,2,332,3,7405571,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1886,1846,5,5,9073,1,8385092,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1874,1833,0,9,5062,2,5280038,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1998,1930,2,4,8216,3,3207928,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1920,1993,2,3,8495,2,4937197,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1984,1984,1,3,8717,1,5203669,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1810,1850,7,8,3110,2,8623439,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1875,1829,0,3,9141,3,7970444,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1818,1829,7,6,222,3,7080860,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1978,1877,2,8,3332,3,8008559,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1842,1943,0,8,4735,1,3015368,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1832,1825,3,5,5268,2,8610056,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1893,1851,6,4,5346,2,7578487,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1878,1895,4,9,5836,3,2953942,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1833,1961,6,2,5976,1,9920516,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1861,1929,0,5,8075,3,8807337,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1897,1884,6,7,5049,3,6599648,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1922,1883,7,8,2715,3,9807667,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1967,1847,7,6,5916,3,3886304,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1919,1915,0,9,3674,3,6801332,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1929,1887,4,5,3516,2,9236290,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1944,1885,5,5,7981,1,2032889,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,2005,1887,1,7,4720,2,669579,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1985,1885,1,5,8787,2,5704042,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1956,1867,6,7,9171,1,9592363,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1926,1844,1,4,8046,2,4143864,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1978,1938,3,2,2234,1,2839759,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1868,1836,7,7,3373,2,8150525,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1841,1848,1,3,8256,2,4796116,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1944,2011,5,7,5508,1,5133794,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1909,1909,6,4,9261,1,1501192,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1823,1838,1,8,8608,1,5246249,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1883,1970,4,5,1904,2,6499338,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1804,1830,3,7,4427,2,7507265,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1873,1936,2,4,6279,2,2841259,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1826,1876,0,4,6578,2,8096947,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1895,1906,1,7,4169,2,5305660,
Gothic Postmodern Brutalist Modern Beat-up Victorian Colonial Neoclassical Art-Deco,1984,1811,5,3,7543,2,1413690,
