number,direction,streetName,suffix,unit,city,state,postalCode,house
70851,W,nieve,Court,489304200,Bedford,Kansas,73090,
65562,SE,forefoot,Vista,590018713,Quezon,Kansas,80997,
24993,W,pledgees,Gardens,352767641,Quezon,Kansas,64301,
77859,SW,forefoot,Estate,794413106,Bedford,Kansas,27344,
75365,SW,forefoot,Avenue,59423865,Bedford,Kansas,34130,
45311,NE,nieve,Place,919315143,Quezon,Kansas,68410,
58561,W,tradeswoman,Road,113256194,Quezon,Kansas,85456,
9582,N,flingers,Street,23293488,Quezon,Kansas,16552,
17616,S,tradeswoman,Commons,720095102,Quezon,Kansas,67110,
52293,E,flingers,Court,430474332,Bedford,Kansas,40387,
44480,W,nieve,Avenue,239662500,Bedford,Kansas,53787,
34945,W,forefoot,Estate,830860739,Quezon,Kansas,92741,
99514,E,forefoot,Street,279955837,Quezon,Kansas,36347,
25994,N,flingers,Ridge,794616653,Bedford,Kansas,61992,
88080,NW,Sanderson,Estate,195442395,Quezon,Kansas,65875,
23656,S,forefoot,Beach,25547764,Bedford,Kansas,34914,
32070,E,pledgees,Court,16139298,Bedford,Kansas,58228,
66693,NE,tradeswoman,Gardens,159914394,Bedford,Kansas,73721,
29342,NE,izzard,Avenue,938154061,Quezon,Kansas,46246,
73255,SW,nieve,Beach,38271963,Bedford,Kansas,49820,
45950,W,nieve,Vista,892943800,Quezon,Kansas,80546,
19624,NE,flingers,Street,810188509,Bedford,Kansas,28942,
67091,SE,izzard,Place,9228773,Bedford,Kansas,96222,
54531,SE,nieve,Commons,18805668,Bedford,Kansas,70670,
90652,NW,izzard,Lane,70126572,Quezon,Kansas,60176,
15442,S,gratitude,Estate,582193257,Bedford,Kansas,85630,
90212,NE,gratitude,Road,7570140,Quezon,Kansas,28241,
77490,SW,izzard,Ridge,530655058,Quezon,Kansas,27771,
40018,E,izzard,Gardens,750882210,Quezon,Kansas,78476,
31983,N,forefoot,Street,101209207,Quezon,Kansas,31128,
95575,SW,flingers,Avenue,861960424,Quezon,Kansas,87282,
94842,E,pledgees,Commons,403450125,Quezon,Kansas,50011,
29206,SW,izzard,Place,600019689,Bedford,Kansas,46458,
12778,S,tradeswoman,Ridge,194073708,Quezon,Kansas,40711,
40627,E,izzard,Gardens,241364507,Quezon,Kansas,93912,
50501,S,gratitude,Estate,578062002,Quezon,Kansas,50258,
71704,S,Sanderson,Place,498833056,Bedford,Kansas,22325,
80070,E,Sanderson,Road,614628661,Quezon,Kansas,34326,
86138,E,convenience,Court,733129064,Quezon,Kansas,57627,
7935,NE,Sanderson,Road,550865102,Bedford,Kansas,21807,
77107,N,izzard,Vista,818992547,Bedford,Kansas,37997,
71198,S,izzard,Street,975389838,Quezon,Kansas,78546,
63713,W,gratitude,Place,539994854,Bedford,Kansas,15487,
58899,E,pledgees,Estate,16447397,Quezon,Kansas,24239,
42340,W,convenience,Street,253352683,Bedford,Kansas,69573,
62982,W,nieve,Commons,894907922,Quezon,Kansas,24246,
85028,S,izzard,Beach,155945987,Bedford,Kansas,22819,
22792,N,forefoot,Vista,947495924,Bedford,Kansas,23113,
51363,S,izzard,Ridge,309999571,Bedford,Kansas,83748,
7198,NW,izzard,Court,592415833,Quezon,Kansas,32380,
83008,SE,forefoot,Gardens,674291766,Bedford,Kansas,78847,
73860,N,tubifex,Ridge,507804164,Quezon,Kansas,95863,
21425,NE,tradeswoman,Road,935359335,Bedford,Kansas,64537,
82026,SW,flingers,Place,56108885,Quezon,Kansas,23793,
